channel,estimated_roi,target_channel,roi_prior_mu
tiktok,0.11319785,tiktok,0.072657
moloco,0.25355062,tiktok,0.072657
liveintent,0.26565278,tiktok,0.072657
beehiiv,0.38130927,tiktok,0.072657
amazon,0.6831591,tiktok,0.072657
meta,0.08435149,tiktok,0.103795
google,0.050077796,tiktok,0.103795
snapchat,0.08844758,tiktok,0.103795
tiktok,0.11861575,tiktok,0.103795
moloco,0.24748406,tiktok,0.103795
liveintent,0.21588652,tiktok,0.103795
beehiiv,0.36586607,tiktok,0.103795
amazon,0.7348001,tiktok,0.103795
meta,0.08760529,moloco,0.020759
google,0.041308664,moloco,0.020759
snapchat,0.07973403,moloco,0.020759
tiktok,0.13126163,moloco,0.020759
moloco,0.22562794,moloco,0.020759
liveintent,0.30171034,moloco,0.020759
beehiiv,0.37479126,moloco,0.020759
amazon,0.71884125,moloco,0.020759
meta,0.08942308,moloco,0.036328
google,0.04713014,moloco,0.036328
snapchat,0.085242875,moloco,0.036328
tiktok,0.12534167,moloco,0.036328
moloco,0.23276718,moloco,0.036328
liveintent,0.25864884,moloco,0.036328
beehiiv,0.37015796,moloco,0.036328
amazon,0.72123516,moloco,0.036328
meta,0.088012315,moloco,0.051898
google,0.0487777,moloco,0.051898
snapchat,0.087183,moloco,0.051898
tiktok,0.13713232,moloco,0.051898
moloco,0.24705017,moloco,0.051898
liveintent,0.2330713,moloco,0.051898
beehiiv,0.39231974,moloco,0.051898
amazon,0.6808673,moloco,0.051898
meta,0.091607764,moloco,0.072657
google,0.041628294,moloco,0.072657
snapchat,0.07899423,moloco,0.072657
tiktok,0.124503575,moloco,0.072657
moloco,0.23809561,moloco,0.072657
liveintent,0.2539974,moloco,0.072657
beehiiv,0.36308903,moloco,0.072657
amazon,0.76018435,moloco,0.072657
meta,0.09129616,moloco,0.103795
google,0.045277055,moloco,0.103795
snapchat,0.089112654,moloco,0.103795
tiktok,0.12257991,moloco,0.103795
moloco,0.23929334,moloco,0.103795
liveintent,0.22854225,moloco,0.103795
beehiiv,0.39492434,moloco,0.103795
amazon,0.6994102,moloco,0.103795
meta,0.09336404,liveintent,0.020759
google,0.04768471,liveintent,0.020759
snapchat,0.093975104,liveintent,0.020759
tiktok,0.12589946,liveintent,0.020759
moloco,0.26159737,liveintent,0.020759
liveintent,0.22665937,liveintent,0.020759
beehiiv,0.37433213,liveintent,0.020759
amazon,0.6977693,liveintent,0.020759
meta,0.0921979,liveintent,0.036328
google,0.04384522,liveintent,0.036328
snapchat,0.08289949,liveintent,0.036328
tiktok,0.12285137,liveintent,0.036328
moloco,0.25542176,liveintent,0.036328
liveintent,0.2137187,liveintent,0.036328
beehiiv,0.38936403,liveintent,0.036328
amazon,0.74261373,liveintent,0.036328
meta,0.0859222,liveintent,0.051898
google,0.04723241,liveintent,0.051898
snapchat,0.08465728,liveintent,0.051898
tiktok,0.117463015,liveintent,0.051898
moloco,0.28031248,liveintent,0.051898
liveintent,0.20279416,liveintent,0.051898
beehiiv,0.3479892,liveintent,0.051898
amazon,0.70904744,liveintent,0.051898
meta,0.08721336,liveintent,0.072657
google,0.04865721,liveintent,0.072657
snapchat,0.09012743,liveintent,0.072657
tiktok,0.12501583,liveintent,0.072657
moloco,0.25000995,liveintent,0.072657
liveintent,0.20498863,liveintent,0.072657
beehiiv,0.36676395,liveintent,0.072657
amazon,0.69239044,liveintent,0.072657
meta,0.09293423,liveintent,0.103795
google,0.04765868,liveintent,0.103795
snapchat,0.08872913,liveintent,0.103795
tiktok,0.11725553,liveintent,0.103795
moloco,0.2716466,liveintent,0.103795
liveintent,0.22302613,liveintent,0.103795
beehiiv,0.35350072,liveintent,0.103795
amazon,0.68375486,liveintent,0.103795
meta,0.09196923,beehiiv,0.020759
google,0.04147392,beehiiv,0.020759
snapchat,0.0760257,beehiiv,0.020759
tiktok,0.13050951,beehiiv,0.020759
moloco,0.2635407,beehiiv,0.020759
