channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,targets,prior_key,roi_prior_overrides_json
liveintent,0.32501084,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
beehiiv,0.47246677,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
amazon,1.4255044,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
meta,0.020654399,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
google,-0.03895738,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
snapchat,0.021860244,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
tiktok,0.02740331,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
moloco,0.09501006,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
liveintent,0.31992716,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
beehiiv,0.2568536,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
