channel,estimated_roi,posterior_roi_sd,posterior_roi_p05,posterior_roi_p50,posterior_roi_p95,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,run_mode,prior_mode_used,kpi_type,kpi_type_effective,outcome_col_used,revenue_per_kpi,target_channels,sweep_type,two_layer_enabled,prior_design_mode,prior_grid_type,prior_design_label,roi_mu,roi_sigma,roi_dist,contribution_mean,contribution_scale,converted_roi_mu_by_channel,converted_roi_sigma_by_channel,qc_scope,qc_target_channels,gate_mode,gate_matched_count,gate_missing_count,gate_warning,input_data_csv,prior_roi_mu_channel,prior_roi_sigma_channel,prior_roi_dist_channel,prior_posterior_kl_gaussian,prior_posterior_wasserstein,is_baseline,targets,prior_key,roi_prior_overrides_json,structural_overrides_json,qc_overall_status,qc_summary,qc_pass_fail,qc_needs_review,qc_text,qc_r2,qc_mape,qc_wmape,qc_bayesian_ppp,qc_baseline_neg_prob
meta,1.5415263324975967,1.3990795463323558,0.14244678616523743,1.5415263324975967,2.940605878829956,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,4.992050155452376,1.1781812634976583,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
google,2.2374478578567505,0.4462317228317261,1.7912161350250244,2.2374478578567505,2.6836795806884766,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,6.7644444850144065,1.8667305387283835,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
snapchat,2.218982219696045,1.1513686180114746,1.0676136016845703,2.218982219696045,3.3703508377075195,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,7.93459350228099,1.8559870113914698,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
tiktok,0.9854229539632797,0.6948571354150783,0.2905658185482025,0.9854229539632797,1.680280089378357,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.010460407833978424,0.010460407833978424,LogNormal,6545.188167944884,0.9755909614887236,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
moloco,3.7625492811203003,0.21966993808746338,3.542879343032837,3.7625492811203003,3.9822192192077637,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,23.03246705936352,3.345739365310548,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
liveintent,2.526581734418869,1.8783264458179474,0.6482552886009216,2.526581734418869,4.404908180236816,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,14.277391847891986,2.14108426610241,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
beehiiv,1.875392198562622,1.1846966743469238,0.6906955242156982,1.875392198562622,3.060088872909546,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,5.7979427482106045,1.4965935987011079,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
amazon,1.4309114813804626,0.6699865460395793,0.7609249353408813,1.4309114813804626,2.100898027420044,tiktok,0.01046,0.01046,LogNormal,0.3,0.5,1.0,4,geometric,fast_product,contribution,non_revenue,non_revenue,subscriptions,,tiktok,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.01046,0.01046,LogNormal,0.02,0.02,"{""tiktok"": 0.010460407833978424}","{""tiktok"": 0.010460407833978424}",target_channels,tiktok,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.4,0.5,LogNormal,2.230671375408949,1.0468192676114554,False,tiktok,"{""contribution_mean"": 0.02, ""contribution_scale"": 0.02, ""converted_roi_mu_by_channel"": {""tiktok"": 0.010460407833978424}, ""converted_roi_sigma_by_channel"": {""tiktok"": 0.010460407833978424}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}","{""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.010460407833978424, ""sigma"": 0.010460407833978424}}","{""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.0}",FAIL,Failed: Model did not converge. Other checks were skipped.,FAIL,False,"========================================
Model Quality Checks
========================================
Overall Status: FAIL
Summary: Failed: Model did not converge. Other checks were skipped.

Check Results:
----------------------------------------
Convergence Check:
  Status: FAIL
  Recommendation: The model hasn't converged, and the `max_r_hat` for parameter `knot_values` is inf. We recommend increasing MCMC iterations or investigating model misspecification (e.g., priors, multicollinearity) before proceeding.",,,,,
