channel,target_channel,in_target_set,n_runs_used,n_self_rows,n_cross_rows,channel_total_spend,sensitivity_mu_elasticity_median,sensitivity_sigma_elasticity_median,sensitivity_joint_elasticity_median,sensitivity_any_elasticity_median,sensitivity_dist_shift_median,sensitivity_fragility,prior_sensitivity_raw,prior_sensitivity_subscore,data_diffuse_shift_median,data_influence_raw,data_influence_subscore,cross_channel_fragility,max_cross_channel_fragility,cross_channel_subscore,near_zero_baseline_fallback_rate,score_method,band_method,overall_channel_robustness_score,relative_rank,relative_rank_total,relative_rank_label,relative_rank_method,absolute_band,robustness_band,targets
google,google,True,16,16,112,10298543.94665,1.273588575009713,0.7834921934134058,1.159216185958511,1.159216185958511,,1.159216185958511,1.159216185958511,46.31310224992982,0.28024495750799505,51.300961575176615,51.300961575176615,0.027096412906409066,0.17032415609399065,90.22130506050216,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,54.146297502827366,6,6,6 / 6 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,beehiiv,google,meta,snapchat,tiktok"
beehiiv,beehiiv,True,7,7,49,328172.2732613,1.0468185274462973,0.03486368715469078,0.6659613722155157,0.6659613722155157,,0.6659613722155157,0.6659613722155157,60.02540134949995,,21.703876811564907,21.703876811564907,0.01749011718514423,0.08583205011502307,93.46139686609867,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,55.46041954250599,5,6,5 / 6 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,beehiiv,google,meta,snapchat,tiktok"
amazon,amazon,True,5,5,35,15740.258094,1.0239633482123414,0.030143909617787942,0.5227942013077511,0.5227942013077511,,0.5227942013077511,0.5227942013077511,65.66875544582558,,21.850020408607694,21.850020408607694,0.01938297306582199,0.07672592176049475,92.80467772508922,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,58.784460028410656,4,6,4 / 6 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,beehiiv,google,meta,snapchat,tiktok"
tiktok,tiktok,True,14,14,98,1752685.00913,1.1026282783312191,0.4192678604110496,0.7428624606511224,0.7428624606511224,,0.7428624606511224,0.7428624606511224,57.3768741123959,0.19242931537378485,45.247745595672285,45.247745595672285,0.019433375476397972,0.07900615609153835,92.78731692314032,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,59.656158404826655,3,6,3 / 6 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,beehiiv,google,meta,snapchat,tiktok"
meta,meta,True,5,5,35,840158.1265220001,1.0192215749464737,0.4298776977526347,0.5284371091429392,0.5284371091429392,,0.5284371091429392,0.5284371091429392,65.42630992260737,0.1656591431811651,50.36689906008371,50.36689906008371,0.015020364299420344,0.051624469833411124,94.33237353698212,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,65.99736674913267,2,6,2 / 6 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,beehiiv,google,meta,snapchat,tiktok"
snapchat,snapchat,True,7,7,49,4342436.908989999,1.0459453894632085,0.34738051379290696,0.4316948976932673,0.4316948976932673,,0.4316948976932673,0.4316948976932673,69.84728391581126,0.34738051379290696,47.72228812300666,47.72228812300666,0.01505307369437783,0.09315274188321979,94.3207322652161,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,67.98705222002084,1,6,1 / 6 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,beehiiv,google,meta,snapchat,tiktok"
