check,pass_count,review_count,fail_count,unknown_count,coverage_pct
convergence,32,0,0,0,100.0
baseline,32,0,0,0,100.0
bayesianppp,32,0,0,0,100.0
gof,32,0,0,0,100.0
prior_posterior_shift,5,27,0,0,100.0
roi_consistency,30,2,0,0,100.0
