channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
amazon,1.0,16,1.0455891648866236,1.0288946968802095,0.9029097445681692,1.0700455777719615,0.0,1684279.3566474025,1684279.3566474025,0.16713583320379233
amazon,3.0,16,0.9669133219588548,1.2189205101598053,0.8750312419235706,3.025061825911204,-3.30741356240856,1521946.5242159292,1918612.3425985486,2.1500305839876335
beehiiv,1.0,16,1.1444279511272908,1.1108552783256165,0.9595887677868208,1.1854163110256195,0.0,37556952.23052149,37556952.23052149,0.22582754323879872
beehiiv,3.0,16,1.070952367472152,1.3314073909935542,0.9248231566076476,3.2173243176937105,-2.8337354199452767,35145687.298790716,43693099.01392511,2.292501161086063
google,1.0,16,0.2276174802860866,0.2295586060070976,0.2105426883914818,0.3160272542759776,0.0,234412862.3752003,234412862.3752003,0.10548456588449581
google,3.0,16,0.21207746618427337,0.32048771728392844,0.1912234205255905,1.2460961226622265,1.6023582302181678,218408910.55929184,330055684.0810078,1.054872702136636
liveintent,1.0,16,0.879478878279527,0.8764891297036471,0.8261065487936139,0.9435895661978672,0.0,70181286.38609697,70181286.38609697,0.11748301740425326
liveintent,3.0,16,0.8212710734099771,1.0718383580539377,0.730796401227514,2.878925103743871,-5.7138225124635875,65536378.22019835,85531326.13410985,2.148128702516357
meta,1.0,16,0.403413475882262,0.3921402373549063,0.3481598552502691,0.4862927681456009,0.0,33893111.011096925,33893111.011096925,0.1381329128953318
meta,3.0,16,0.36794033144600685,0.49239372233278117,0.3375774583841364,1.565876015027364,-0.9747976012154698,30912805.953956086,41368858.72663033,1.2282985566432276
moloco,1.0,16,0.8854365334597727,0.8590592087067974,0.7675776141136885,0.9504198973129192,0.0,74574529.3073975,74574529.3073975,0.18284228319923068
moloco,3.0,16,0.8004857623297721,1.0114177573518828,0.735721241372327,2.608626819849014,-1.143715715416705,67419681.35170484,85185103.99942403,1.8729055784766873
snapchat,1.0,16,0.4455880323549112,0.4519932444874818,0.4303669441491365,0.5675031609584887,0.0,193493791.79021963,193493791.79021963,0.13713621680935223
snapchat,3.0,16,0.425210626454403,0.5873235453568244,0.4033451784029603,1.935648611386617,-4.563487501383305,184645031.8410359,255041544.0876336,1.5323034329836567
tiktok,1.0,16,0.3734210195889075,0.3813842867151834,0.358862383471181,0.4933619039009014,0.0,65448942.31275183,65448942.31275183,0.1344995204297204
tiktok,3.0,16,0.3680191678398599,0.5267300387999664,0.3349640564061701,1.8016319712003073,3.3069773653941734,64502167.85454199,92319184.28631644,1.466667914794137
