channel,n_rows,n_applicable,n_fail,max_prior_neg_prob,fail_rate_pct
amazon,32,32,0,0.0,0.0
beehiiv,32,32,0,0.0,0.0
google,32,32,0,0.0,0.0
liveintent,32,32,0,0.0,0.0
meta,32,32,0,0.0,0.0
moloco,32,32,0,0.0,0.0
snapchat,32,32,0,0.0,0.0
tiktok,32,32,0,0.0,0.0
