channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
beehiiv,2.1926123165215055,2.292501161086063,71955456.82935876,75233531.74877831
amazon,2.0993425188275676,2.1500305839876335,3304419.307405397,3384203.6301958896
liveintent,2.070247751828283,2.148128702516357,165203115.10546064,171417915.07308877
moloco,1.765251111611724,1.850833807773888,148675558.08141422,155883628.95038223
snapchat,1.3348194235625366,1.5323034329836567,579636913.1714714,665393098.3160313
tiktok,1.2655745466891677,1.466667914794137,221815353.59186,257060686.76316407
meta,1.026533396753172,1.2248591494436065,86245037.542841,102907536.82498711
google,0.8712397942847263,1.054872702136636,897250130.9511559,1086365288.107558
