channel,roi_prior_dist,max_abs_pct_change,max_abs_pct_change_raw,max_abs_delta_roi,baseline_roi,baseline_mu,baseline_sigma,pct_metric_reliable,pct_metric_unstable_reason,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,primary_metric,primary_value,ranking_metric_label
snapchat,LogNormal,5.337609911325017,7.405510838855845,0.03321149795005718,0.4336056768273313,1.0,1.0,True,,True,False,3,0.03536769822289152,pct_change,5.337609911325017,Max |% Change|
liveintent,LogNormal,3.4386448832196166,7.84231133318737,0.06711626622825861,0.8558225168163578,1.0,1.0,True,,True,False,3,0.06460707709417648,pct_change,3.4386448832196166,Max |% Change|
tiktok,LogNormal,2.0124538431533345,265.1745213716765,1.3082700672994059,0.3722243528316418,1.0,1.0,True,,True,False,3,0.015432604580796882,pct_change,2.0124538431533345,Max |% Change|
google,LogNormal,1.3425330850423718,10.00222114850966,0.021252290504053306,0.2157352625019848,1.0,1.0,True,,True,False,3,0.03709676631688862,pct_change,1.3425330850423718,Max |% Change|
moloco,LogNormal,1.2747378061384058,1.7972110330958997,0.014624513443559306,0.7947057366122802,1.0,1.0,True,,True,False,3,0.022828374611997458,pct_change,1.2747378061384058,Max |% Change|
meta,LogNormal,1.1992210210556142,6.473837860783535,0.023595637225856392,0.3660318725307782,1.0,1.0,True,,True,False,3,0.011992210210556142,pct_change,1.1992210210556142,Max |% Change|
beehiiv,LogNormal,0.0008788251831957607,16.21282299658928,0.16541228568181388,1.1116509972388546,1.0,1.0,True,,True,False,3,0.03457718568328597,pct_change,0.0008788251831957607,Max |% Change|
amazon,LogNormal,0.0,196.2456957709447,2.0039290739099185,1.0079144053906202,1.0,1.0,True,local_volatility_ratio=1.874 > max_local_sensitivity_ratio=1.000,True,False,3,1.8738489725274357,pct_change,0.0,Max |% Change|
