channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
tiktok,0.3583863601431948,0.6891039911843838,37688304.05397859,72466934.1048313
meta,0.28277126985718504,0.6047341673728077,14254354.81904757,30484339.506226793
amazon,0.278371723468105,0.5681135677732528,261784.55748358055,536535.2510072495
google,0.2717190200222345,0.6627426853093009,167898616.1303792,409517080.1987199
snapchat,0.16574525044222044,0.5661408622888848,43184297.58060531,147505858.56544065
moloco,0.04933169988643685,0.06136088487420549,2492931.89965171,3100815.654962249
liveintent,0.021883739214390546,0.02772223872326629,839876.1363446619,1327319.4546120279
beehiiv,0.014673895551435001,0.02583649291734519,288933.9396427977,508729.23682708014
