channel,left_dollar,right_dollar,max_abs_dollar_change,median_dollar_change,mean_dollar_change,std_dollar_change,n
google,-83176809.62578394,168751592.17239705,168751592.17239705,-1178885.748835802,13343872.723062674,98049868.39943352,27
snapchat,-111024485.11192277,11848360.43766972,111024485.11192277,-2485100.7086328566,-13164874.963849107,38801539.12918938,27
tiktok,-19926497.69711605,82201932.57227124,82201932.57227124,2816896.3074599504,12076977.363308642,32953548.909918953,27
meta,-11415091.02762945,14537987.600097172,14537987.600097172,-446068.780325979,281970.96020428825,8517069.888506535,27
moloco,-2138796.943898956,625993.4501867422,2138796.943898956,-724137.5676719211,-624725.7871138136,920740.8945932803,27
liveintent,-158131.8991875157,1056630.2573919022,1056630.2573919022,549909.404706806,478991.04711354204,378421.817008022,27
amazon,-318530.8911231253,356207.83798262343,356207.83798262343,18475.699940308343,19895.847339283322,188427.8681563861,27
beehiiv,-252355.67318634008,118150.5408673597,252355.67318634008,-94608.58045174088,-86217.42532834983,121346.46958431324,27
