index,channel,max_change,median_change,mean_change,n
3,channel3,4414344692.502646,62787869.33482742,356290746.76268995,40
4,channel4,2945298145.588269,109280664.96511815,302706198.3522723,40
0,channel0,2548487223.7256894,75139510.3717817,256827102.73566908,40
1,channel1,2077686768.725196,56125773.355250955,205633404.58231196,40
2,channel2,828050200.0463383,17008792.63457048,84317141.27754042,40
