channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
channel0,0.5,15,0.4477808441376934,0.4077318406607471,0.1597255621523072,0.4879625320450092,3.923396425865106,1813589127.1975296,1651383802.4012964,0.328236969892702
channel0,1.0,15,0.4308758754407366,0.44938983808126715,0.365621010257552,0.6734905727083484,0.0,1797852361.5030887,1857598188.4445443,0.30786956245079644
channel0,1.5,15,0.4368716894090175,0.49913017949048016,0.398543578311801,1.060105364744862,1.3915408845175856,1769405181.7209375,2021562731.9281447,0.661561786433061
channel1,0.5,15,0.4761735728383064,0.4336814907380936,0.1777363884075506,0.5026273042584459,2.3095037994476746,1491389829.738114,1358303361.4763112,0.32489091585089536
channel1,1.0,15,0.4654245746042579,0.48113857776940694,0.3667090272018686,0.7177516844992836,0.0,1488546878.9229608,1531548736.4942102,0.351042657297415
channel1,1.5,15,0.4661140549617509,0.5348575473655429,0.4336216797276089,1.128792067244649,0.1481400843690414,1459883119.7715402,1675189787.9274151,0.6951703875170401
channel2,0.5,15,0.5618796634084234,0.5023018243690668,0.1912033234790821,0.5697044957336038,2.563025098030077,678714074.2216694,606747921.1446325,0.37850117225452173
channel2,1.0,15,0.5478384270270665,0.5566613986074097,0.4309480943251401,0.7799109577387572,0.0,665546593.2682468,677739537.670331,0.3489628634136171
channel2,1.5,15,0.5485236512341847,0.6220543293892924,0.5085030135667572,1.2333473701278368,0.12507779179285028,662580880.5354216,751401155.4110032,0.7248443565610796
channel3,0.5,15,0.2654845416452736,0.24147199580623416,0.0847946437148978,0.2818128956699123,2.6884417805989154,2332556693.849503,2121581605.8609228,0.1970182519550145
channel3,1.0,15,0.2585340054263361,0.2703168833748075,0.185067680455201,0.4712588306392232,0.0,2298029480.705615,2426776215.291072,0.2861911501840222
channel3,1.5,15,0.2584411914724235,0.30367230179885196,0.2398061644216068,0.760961354970932,-0.03590009513817337,2270673566.903607,2668075722.6310954,0.5211551905493252
channel4,0.5,15,0.4271142989366004,0.3915210437818314,0.1805485884283552,0.464795277894785,5.1099799843294145,2038645741.1350377,1868756701.5616431,0.2842466894664298
channel4,1.0,15,0.4063499003617714,0.42765612674690784,0.3533186409932872,0.650418709864219,0.0,2003345474.151884,2092079959.6910357,0.2971000688709318
channel4,1.5,15,0.4126520338685562,0.4707191209667879,0.3665805686203142,1.0234158904105426,1.5509130188475657,1969616361.5016696,2246774536.9775486,0.6568353217902284
