channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
channel2,0.37850117225452173,0.7248443565610796,457204788.5844397,875564820.1144335
channel1,0.351042657297415,0.6951703875170401,1099476070.8305519,2177294383.848706
channel0,0.328236969892702,0.661561786433061,1329415957.683566,2679438565.8789644
channel4,0.2971000688709318,0.6568353217902284,1418078934.8486717,3135119884.135455
channel3,0.2861911501840222,0.5211551905493252,2514485698.282892,4578888174.493015
